,FIPS,2008_perc
905,20043,84.9
906,20045,86.7
907,20047,82.5
908,20049,80.4
909,20051,87.0
910,20053,85.1
911,20055,80.2
912,20057,79.5
913,20059,88.1
914,20061,85.3
915,20063,83.9
916,20065,83.1
917,20067,78.9
918,20069,76.6
919,20071,80.4
920,20073,83.8
921,20075,75.6
922,20077,83.9
923,20079,87.5
924,20081,77.7
925,20083,84.0
926,20085,87.5
927,20087,87.8
928,20089,81.8
929,20091,91.8
930,20093,78.0
931,20095,86.2
932,20097,82.8
933,20099,87.0
934,20101,81.5
935,20103,88.5
936,20105,80.9
937,20107,84.9
938,20109,84.7
939,20111,83.6
940,20113,88.2
941,20115,86.7
942,20117,85.1
943,20119,79.2
944,20121,89.1
945,20123,85.2
946,20125,87.0
947,20127,82.9
948,20129,82.2
949,20131,86.9
950,20133,86.6
951,20135,83.2
952,20137,84.3
953,20139,88.2
954,20141,83.2
955,20143,85.8
956,20145,84.1
957,20147,85.6
958,20149,89.0
959,20151,84.5
960,20153,83.3
961,20155,86.6
962,20157,84.8
963,20159,83.8
964,20161,88.2
965,20163,83.9
966,20165,84.5
967,20167,83.7
968,20169,86.9
969,20171,82.4
970,20173,87.3
971,20175,77.4
972,20177,88.3
973,20179,85.7
974,20181,83.6
975,20183,84.4
976,20185,79.4
977,20187,73.5
978,20189,78.8
979,20191,87.4
980,20193,87.0
981,20195,86.2
982,20197,86.6
983,20199,80.5
984,20201,82.9
985,20203,76.5
986,20205,85.8
987,20207,82.3
988,20209,81.4
989,21001,79.2
990,21003,83.1
991,21005,85.1
992,21007,84.2
993,21009,83.6
994,21011,83.2
995,21013,82.9
996,21015,89.6
997,21017,83.6
998,21019,84.8
999,21021,84.3
1000,21023,81.9
1001,21025,83.8
1002,21027,81.8
1003,21029,86.3
1004,21031,81.4
1005,21033,83.9
1006,21035,83.2
1007,21037,87.4
1008,21039,79.5
1009,21041,84.1
1010,21043,81.8
1011,21045,79.4
1012,21047,85.0
1013,21049,84.7
1014,21051,82.0
1015,21053,81.6
1016,21055,79.8
1017,21057,78.6
1018,21059,85.9
1019,21061,80.7
1020,21063,79.9
1021,21065,81.4
1022,21067,86.3
1023,21069,81.4
1024,21071,83.5
1025,21073,85.7
1026,21075,82.0
1027,21077,82.3
1028,21079,80.0
1029,21081,83.1
1030,21083,81.4
1031,21085,82.3
1032,21087,80.9
1033,21089,84.5
1034,21091,86.2
1035,21093,86.5
1036,21095,82.6
1037,21097,84.0
1038,21099,82.1
1039,21101,86.3
1040,21103,83.4
1041,21105,79.4
1042,21107,82.9
1043,21109,81.4
1044,21111,87.6
1045,21113,84.2
1046,21115,81.9
1047,21117,88.5
1048,21119,83.5
1049,21121,82.3
1050,21123,82.0
1051,21125,82.1
1052,21127,81.3
1053,21129,82.3
1054,21131,83.0
1055,21133,83.1
1056,21135,81.9
1057,21137,81.6
1058,21139,83.8
1059,21141,83.0
1060,21143,80.6
1061,21145,85.7
1062,21147,80.5
1063,21149,81.4
1064,21151,84.8
1065,21153,82.7
1066,21155,83.9
1067,21157,85.1
1068,21159,83.7
1069,21161,83.7
1070,21163,83.1
1071,21165,78.4
1072,21167,84.0
1073,21169,81.6
1074,21171,80.7
1075,21173,83.1
1076,21175,81.5
1077,21177,82.3
1078,21179,85.4
1079,21181,80.7
1080,21183,82.9
1081,21185,90.0
1082,21187,83.0
1083,21189,82.5
1084,21191,83.3
1085,21193,82.7
1086,21195,84.1
1087,21197,81.2
1088,21199,81.7
1089,21201,79.1
1090,21203,80.8
