,state,county,politics,color
87,North Dakota,Traill,"[['Dem', 59.2, 2274], ['GOP', 40.8, 1567]]",democrat
88,North Dakota,Billings,"[['GOP', 72.0, 412], ['Dem', 28.0, 160]]",republican
89,North Dakota,Grand Forks,"[['Dem', 55.8, 16516], ['GOP', 44.2, 13090]]",democrat
90,North Dakota,LaMoure,"[['GOP', 51.4, 1123], ['Dem', 48.6, 1061]]",republican
91,North Dakota,Ramsey,"[['Dem', 55.4, 2763], ['GOP', 44.6, 2224]]",democrat
92,North Dakota,Cass,"[['Dem', 56.8, 41397], ['GOP', 43.2, 31509]]",democrat
93,North Dakota,Mercer,"[['GOP', 59.2, 2610], ['Dem', 40.8, 1798]]",republican
94,North Dakota,Dunn,"[['GOP', 63.5, 1272], ['Dem', 36.5, 730]]",republican
95,North Dakota,Sioux,"[['Dem', 83.9, 962], ['GOP', 16.1, 184]]",democrat
96,North Dakota,McLean,"[['GOP', 51.9, 2534], ['Dem', 48.1, 2344]]",republican
97,North Dakota,Williams,"[['GOP', 67.6, 6454], ['Dem', 32.4, 3099]]",republican
98,North Dakota,McKenzie,"[['GOP', 63.9, 2170], ['Dem', 36.1, 1227]]",republican
99,North Dakota,Foster,"[['Dem', 51.3, 850], ['GOP', 48.7, 808]]",democrat
100,North Dakota,Wells,"[['GOP', 58.2, 1358], ['Dem', 41.8, 976]]",republican
101,North Dakota,Sargent,"[['Dem', 66.1, 1318], ['GOP', 33.9, 677]]",democrat
102,North Dakota,Pierce,"[['GOP', 52.5, 1131], ['Dem', 47.5, 1025]]",republican
103,North Dakota,Bottineau,"[['GOP', 53.4, 1847], ['Dem', 46.6, 1609]]",republican
104,North Dakota,Burke,"[['GOP', 64.6, 654], ['Dem', 35.4, 359]]",republican
105,North Dakota,Steele,"[['Dem', 61.7, 637], ['GOP', 38.3, 395]]",democrat
106,North Dakota,Benson,"[['Dem', 67.2, 1451], ['GOP', 32.8, 707]]",democrat
107,North Dakota,Oliver,"[['GOP', 55.4, 555], ['Dem', 44.6, 446]]",republican
108,North Dakota,Bowman,"[['GOP', 63.6, 1083], ['Dem', 36.4, 619]]",republican
109,North Dakota,Renville,"[['GOP', 53.8, 675], ['Dem', 46.2, 580]]",republican
110,North Dakota,Dickey,"[['GOP', 55.4, 1390], ['Dem', 44.6, 1120]]",republican
111,North Dakota,Burleigh,"[['GOP', 55.0, 23407], ['Dem', 45.0, 19185]]",republican
112,North Dakota,Divide,"[['Dem', 50.9, 587], ['GOP', 49.1, 566]]",democrat
113,North Dakota,Slope,"[['GOP', 66.4, 294], ['Dem', 33.6, 149]]",republican
